# 2024-12-02 全池(1168 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
2401 凌陽|半導體業|10 14 -5|73 73 -10 -20|0.6 48|15 -14 -2 -0 5
2402 毅嘉|電子零組|15 12 2|89 89 -8 18|0.4 142|8 11 -0 -13 -25
2404 漢唐|其他電子|-32 -33 -13|100 100 28 24|2.0 1009|25 2 10 245 -15
2405 輔信|電腦及週|10 -9 -14|75 75 -6 -0|0.6 80|5 1 0 -1 -1
2406 國碩|光電業|21 89 -15|60 60 -18 -24|0.5 18|9 -2 0 -10 1
2408 南亞科|半導體業|-18 -5 -30|41 44 -36 -48|1.3 406|10 -0 -1 4 19
2409 友達|光電業|-1 5 -9|83 83 -4 -6|0.6 282|25 -13 3 1 30
2412 中華電|通信網路|3 4 2|96 96 -1 -3|0.8 657|16 -19 9 -2 13
2413 環科|電子零組|-7 -29 2|85 88 21 9|0.5 68|3 0 0 -14 2
2415 錩新|電子零組|-27 -13 -23|81 81 6 3|0.6 7|2 4 0 -5 9
2417 圓剛|電腦及週|-10 -6 -6|70 70 -15 -16|1.6 21|2 -0 0 1 -4
2419 仲琦|通信網路|128 59 56|96 96 17 18|4.2 113|3 0 -0 24 37
2420 新巨|電子零組|-2 5 5|84 84 -7 12|0.1 21|8 -1 0 -16 -35
2421 建準|電子零組|9 18 9|72 86 6 -15|0.5 320|16 2 0 0 -5
2423 固緯|其他電子|1 -10 -7|94 97 11 7|0.7 9|6 -1 0 12 3
2425 承啟|電腦及週|21 -11 -5|71 73 -13 -8|0.1 56|7 2 0 -3 -3
2426 鼎元|光電業|-1 8 -3|94 94 10 37|2.6 48|9 -4 0 -2 71
2427 三商電|資訊服務|48 17 -13|74 74 -8 -15|0.4 12|3 -1 0 -5 9
2428 興勤|電子零組|10 12 9|87 87 -9 -3|0.5 20|16 -28 0 5 8
2429 銘旺科|光電業|43 5 48|65 65 -9 45|0.7 19|1 2 0 na na
2431 聯昌|電子零組|-22 -29 2|79 79 22 26|0.4 117|5 1 0 -16 -4
2436 偉詮電|半導體業|-3 -2 -12|66 77 -9 -19|0.2 32|6 -4 -0 -9 -3
2438 翔耀|光電業|392 255 91|47 47 -34 30|0.4 6|1 -5 0 na na
2439 美律|通信網路|-9 22 -1|75 75 -24 -14|0.5 252|17 -28 16 3 89
2441 超豐|半導體業|9 9 -5|93 93 -3 -4|0.9 43|13 2 -10 50 18
2442 新美齊|建材營造|33 236 -1083|68 68 -21 -21|0.8 28|3 -6 0 17 19
2444 兆勁|通信網路|-18 -22 3|100 100 39 47|3.2 61|5 -1 0 na na
2449 京元電子|半導體業|10 11 4|91 91 5 42|0.4 2286|30 -5 -1 -18 -10
2451 創見|半導體業|-14 -11 -10|68 68 -12 -20|1.0 87|8 -24 21 -6 31
2453 凌群|資訊服務|4 5 -5|74 74 -7 -20|0.3 18|7 -9 0 -4 9
2454 聯發科|半導體業|19 14 -16|87 87 7 7|0.7 5457|59 -2 2 -4 40
2455 全新|通信網路|-25 -8 -67|89 89 16 20|1.1 940|25 -2 2 36 12
2457 飛宏|電子零組|-25 -15 2|64 78 2 -22|1.0 88|9 4 -0 -2 -7
2458 義隆|半導體業|1 -2 -20|87 92 3 -5|1.0 378|24 -20 25 -6 58
2460 建通|電子零組|16 11 -16|61 70 -12 -25|2.0 8|2 -10 0 -3 -10
